ticker,name,sector,market_cap,price,pe_trailing,pe_forward,pb,ps,ev_ebitda,peg,fcf_yield,roe,roa,gross_margin,operating_margin,profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,dividend_yield,held_by_insiders,short_ratio,valuation_score,quality_score,growth_score,composite_score
TXG.TO,TOREX GOLD RESOURCES INC,Basic Materials,5703465984,61.1,7.1461983,5.688409,1.7325437,3.4052577,5.869,,0.07132505061680053,0.27278998,0.18469,0.63668996,0.55572,0.34145,4.014,1.372,2.172,3.8,1.05,0.0051700003,2.46,0.7727402958514069,0.83102500259363,0.9582835745369902,0.8209714350140225
APM.TO,ANDEAN PRECIOUS METALS CORP,Basic Materials,1153697536,7.66,5.591241,3.9492786,2.6605268,2.5027661,5.674,,0.13286173474153976,0.63295,0.24802999,0.48605,0.39858,0.32930002,14.022,3.09,1.632,2.273,,0.56886,4.07,0.7539124680235791,0.8166562921464883,0.9370610262119219,0.8033450901948487
FVI.TO,FORTUNA MINING CORP,Basic Materials,4001883904,13.14,8.878379,5.777099,1.6492934,3.6563814,5.301,0.11,0.0922840644204755,0.21956,0.1446,0.54673,0.53027,0.31062,11.379,3.173,0.756,0.816,,0.0050700004,11.0,0.806029686746061,0.7755069105831632,0.7726343487501266,0.7903374143896567
LBS.TO,LIFE & BANC SPLIT CORP.,Financial Services,1287554176,12.1,2.2659175,,1.0661733,4.1414266,,,0.13421500331493624,0.47834,0.17743999,1.0,0.98332,0.86953,76.546,2.263,0.145,0.162,9.92,0.0,0.04,0.747599451303155,0.9642021417620547,0.49544580508045744,0.7855873460303652
BTO.TO,B2GOLD CORP.,Basic Materials,8993819648,6.75,12.98077,4.2228513,1.7830498,2.4388127,4.561,0.89,0.07994062013016696,0.16541,0.16900998,0.65495,0.44984,0.14758,14.0,1.192,1.177,2.503,1.61,0.00415,6.91,0.7698581239273249,0.724579543751657,0.9315656310090072,0.7782667469280935
OGC.TO,OCEANAGOLD CORPORATION,Basic Materials,9637550080,43.07,9.571111,7.1012373,2.947001,4.2875476,7.316,0.09,0.07958194454331696,0.34647998,0.21759,0.62292,0.50161,0.33695,2.201,1.449,0.985,1.405,0.77,0.00318,6.1,0.7077733100686316,0.8396012726078087,0.868626657220929,0.7780410990301883
MSA.TO,MINEROS SA,Basic Materials,1526227456,5.16,5.797753,3.4732342,2.171362,1.6394758,4.335,,-0.021465099367207294,0.39402,0.2591,0.4314,0.44604,0.20910999,6.225,1.825,0.817,1.307,2.69,0.09392,0.05,0.8226691135580024,0.6257680026743208,0.8484971156765511,0.7576279250664961
WDO.TO,WESDOME GOLD MINES LTD.,Basic Materials,4024699136,27.14,10.126865,6.2247705,4.355641,3.920798,5.266,,0.07973285086818474,0.49008998,0.36105,0.73156,0.59212,0.39543,0.313,6.031,0.598,0.902,,0.0017299999,8.7,0.6581529307084864,0.8948167744464041,0.7672502783119117,0.7573498781572714
LULU.NE,LULULEMON CDR (CAD HEDGED),Consumer Cyclical,19474585600,5.2,8.0,,0.09883173,1.7586981,0.616,,0.04544102607246236,0.41017,0.20285,0.58413,0.16988,0.15720001,39.156,2.13,0.071,-0.097,,,0.0,0.9077549771994217,0.6908537077382393,0.312766926424451,0.7425913252717622
ALK.TO,ALKANE RESOURCES LIMITED,Basic Materials,2021983104,1.48,18.5,6.840721,2.076305,2.6746445,4.638,,0.088978428971086,0.24488,0.154,0.35612,0.42962003,0.22453,2.103,2.268,3.341,4.114,,0.21917,2.23,0.6997530864197532,0.7010783737363258,0.9690213541139561,0.740607177134684
